WAR,oWAR,타석,타수,득점,홈런,루타,타점,볼넷,사구,고의사구,삼진,병살,희생번트,희생플라이,타율,출루율,장타율,OPS,R/ePA,wRC+,도루 성공율
8.32,8.51,625.0,544.0,143.0,38.0,352.0,109.0,66.0,7.0,7.0,110.0,10.0,1.0,7.0,0.347,0.42,0.647,1.067,0.232,172.5,0.9090909090909091
6.5,6.34,670.0,572.0,108.0,32.0,325.0,112.0,88.0,6.0,9.0,115.0,10.0,0.0,4.0,0.329,0.421,0.568,0.989,0.211,153.3,0.6666666666666666
6.13,5.83,602.0,527.0,88.0,19.0,273.0,104.0,64.0,3.0,2.0,82.0,5.0,0.0,8.0,0.34,0.409,0.518,0.927,0.191,148.9,1.0
5.69,5.61,568.0,493.0,92.0,33.0,309.0,115.0,55.0,12.0,4.0,73.0,6.0,2.0,6.0,0.343,0.417,0.627,1.044,0.228,162.3,0.7647058823529411
5.16,4.47,567.0,509.0,90.0,11.0,233.0,75.0,47.0,4.0,2.0,62.0,6.0,0.0,7.0,0.326,0.383,0.458,0.841,0.16,124.1,0.8333333333333334
5.06,4.9,604.0,527.0,99.0,32.0,302.0,132.0,61.0,3.0,6.0,82.0,9.0,0.0,13.0,0.319,0.384,0.573,0.957,0.192,147.8,0.6
5.06,4.48,637.0,524.0,96.0,5.0,215.0,73.0,96.0,12.0,3.0,93.0,8.0,1.0,4.0,0.336,0.447,0.41,0.857,0.185,142.3,0.47619047619047616
4.7,4.11,528.0,457.0,75.0,8.0,204.0,50.0,54.0,9.0,4.0,79.0,5.0,4.0,4.0,0.328,0.406,0.446,0.852,0.172,129.6,0.8205128205128205
4.55,4.65,550.0,468.0,93.0,37.0,278.0,107.0,55.0,20.0,1.0,114.0,10.0,0.0,7.0,0.291,0.384,0.594,0.978,0.202,145.9,0.8333333333333334
4.42,4.09,591.0,541.0,82.0,21.0,291.0,118.0,28.0,13.0,3.0,73.0,12.0,0.0,9.0,0.36,0.399,0.538,0.937,0.191,137.2,0.5714285714285714
4.4,3.43,498.0,434.0,58.0,20.0,200.0,80.0,55.0,0.0,2.0,112.0,14.0,2.0,7.0,0.272,0.349,0.461,0.81,0.144,111.0,1.0
4.32,4.47,602.0,519.0,80.0,22.0,263.0,101.0,65.0,2.0,3.0,112.0,14.0,3.0,13.0,0.301,0.372,0.507,0.879,0.169,130.4,0.5384615384615384
3.98,3.58,535.0,453.0,102.0,3.0,174.0,36.0,60.0,9.0,2.0,40.0,5.0,12.0,1.0,0.316,0.405,0.384,0.789,0.157,112.7,0.9130434782608695
3.98,4.26,567.0,504.0,90.0,46.0,319.0,119.0,39.0,17.0,5.0,142.0,12.0,0.0,7.0,0.306,0.37,0.633,1.003,0.203,153.9,0.0
3.77,3.48,511.0,416.0,66.0,13.0,188.0,77.0,77.0,10.0,1.0,63.0,10.0,2.0,6.0,0.3,0.417,0.452,0.869,0.182,137.9,1.0
3.75,3.07,475.0,385.0,61.0,9.0,146.0,49.0,51.0,25.0,1.0,111.0,5.0,9.0,5.0,0.252,0.371,0.379,0.75,0.143,108.4,0.7272727272727273
3.71,2.9,566.0,521.0,81.0,18.0,248.0,81.0,32.0,7.0,4.0,158.0,8.0,2.0,4.0,0.28,0.328,0.476,0.804,0.136,104.3,0.7619047619047619
3.6,3.5,564.0,489.0,78.0,10.0,201.0,67.0,64.0,2.0,3.0,86.0,11.0,3.0,6.0,0.301,0.38,0.411,0.791,0.145,104.0,0.8125
3.42,3.52,602.0,552.0,92.0,26.0,285.0,97.0,41.0,4.0,4.0,91.0,7.0,0.0,5.0,0.31,0.359,0.516,0.875,0.163,121.2,0.7222222222222222
3.4,3.98,632.0,574.0,88.0,15.0,293.0,111.0,46.0,1.0,2.0,82.0,16.0,0.0,11.0,0.352,0.394,0.51,0.904,0.179,127.5,1.0
3.32,3.02,452.0,403.0,48.0,19.0,200.0,77.0,35.0,8.0,2.0,52.0,17.0,0.0,6.0,0.303,0.365,0.496,0.861,0.161,115.6,1.0
3.23,3.13,489.0,418.0,53.0,19.0,188.0,81.0,60.0,1.0,1.0,86.0,8.0,2.0,8.0,0.268,0.355,0.45,0.805,0.144,104.2,1.0
3.21,3.4,485.0,430.0,57.0,17.0,206.0,94.0,40.0,9.0,5.0,56.0,13.0,0.0,6.0,0.314,0.379,0.479,0.858,0.164,125.3,0.6666666666666666
3.2,2.99,477.0,417.0,69.0,7.0,178.0,61.0,36.0,18.0,0.0,25.0,8.0,0.0,6.0,0.309,0.384,0.427,0.811,0.16,122.0,0.8333333333333334
3.13,2.9,613.0,532.0,97.0,14.0,241.0,85.0,67.0,7.0,1.0,114.0,10.0,2.0,5.0,0.293,0.376,0.453,0.829,0.159,113.0,0.4666666666666667
3.09,3.37,552.0,474.0,78.0,29.0,249.0,92.0,63.0,6.0,3.0,168.0,8.0,0.0,9.0,0.283,0.368,0.525,0.893,0.173,132.0,0.5
3.08,2.96,532.0,481.0,79.0,14.0,229.0,87.0,41.0,1.0,0.0,78.0,10.0,1.0,8.0,0.308,0.358,0.476,0.834,0.152,107.9,0.5555555555555556
3.03,2.43,458.0,389.0,71.0,14.0,163.0,66.0,58.0,8.0,1.0,83.0,8.0,0.0,3.0,0.26,0.365,0.419,0.784,0.146,104.8,0.6666666666666666
2.97,2.52,608.0,510.0,95.0,4.0,184.0,47.0,71.0,9.0,1.0,72.0,8.0,10.0,8.0,0.284,0.376,0.361,0.737,0.131,100.2,0.8
2.78,2.58,577.0,515.0,86.0,5.0,199.0,61.0,48.0,1.0,1.0,44.0,9.0,7.0,6.0,0.307,0.363,0.386,0.749,0.129,95.7,0.6060606060606061
2.64,3.11,474.0,387.0,78.0,0.0,138.0,40.0,64.0,5.0,1.0,47.0,7.0,15.0,3.0,0.297,0.401,0.357,0.758,0.148,114.2,0.7441860465116279
2.41,2.5,601.0,526.0,88.0,24.0,239.0,89.0,60.0,11.0,9.0,129.0,10.0,0.0,4.0,0.272,0.356,0.454,0.81,0.145,106.5,1.0
2.38,2.98,466.0,423.0,48.0,9.0,189.0,57.0,30.0,5.0,0.0,39.0,13.0,7.0,0.0,0.329,0.38,0.447,0.827,0.156,117.4,0.8333333333333334
2.29,1.59,509.0,456.0,65.0,28.0,221.0,79.0,45.0,3.0,0.0,155.0,2.0,1.0,4.0,0.252,0.321,0.485,0.806,0.137,97.8,0.8181818181818182
2.24,1.66,562.0,488.0,78.0,16.0,200.0,73.0,52.0,10.0,1.0,119.0,16.0,4.0,8.0,0.258,0.337,0.41,0.747,0.125,95.0,0.5714285714285714
2.22,2.83,489.0,407.0,59.0,7.0,191.0,66.0,69.0,4.0,1.0,83.0,4.0,2.0,7.0,0.312,0.411,0.469,0.88,0.182,129.7,1.0
2.17,2.43,508.0,438.0,75.0,9.0,184.0,56.0,50.0,8.0,0.0,66.0,6.0,7.0,5.0,0.292,0.371,0.42,0.791,0.147,110.1,0.7
2.17,1.79,593.0,533.0,83.0,34.0,260.0,107.0,49.0,7.0,1.0,128.0,15.0,1.0,3.0,0.246,0.316,0.488,0.804,0.136,104.5,0.625
2.13,2.27,522.0,455.0,75.0,24.0,221.0,70.0,63.0,2.0,5.0,129.0,6.0,0.0,2.0,0.275,0.364,0.486,0.85,0.158,116.7,0.5833333333333334
2.12,2.46,614.0,550.0,92.0,26.0,264.0,96.0,59.0,3.0,4.0,127.0,6.0,0.0,2.0,0.289,0.36,0.48,0.84,0.154,112.3,0.75
2.03,1.44,553.0,482.0,72.0,6.0,173.0,56.0,46.0,11.0,0.0,101.0,3.0,5.0,9.0,0.263,0.336,0.359,0.695,0.112,86.1,0.7678571428571429
1.96,1.72,537.0,473.0,82.0,13.0,190.0,60.0,49.0,14.0,1.0,119.0,4.0,0.0,1.0,0.266,0.352,0.402,0.754,0.133,103.6,1.0
1.8,2.15,483.0,423.0,57.0,17.0,205.0,82.0,49.0,5.0,0.0,84.0,11.0,1.0,5.0,0.293,0.369,0.485,0.854,0.163,115.7,0.75
1.76,2.03,543.0,483.0,89.0,11.0,202.0,49.0,50.0,2.0,0.0,71.0,5.0,6.0,2.0,0.275,0.345,0.418,0.763,0.128,92.2,0.8648648648648649
1.54,1.83,487.0,425.0,67.0,22.0,212.0,109.0,52.0,5.0,4.0,86.0,5.0,0.0,5.0,0.28,0.361,0.499,0.86,0.161,119.0,0.5
1.39,1.28,567.0,512.0,68.0,10.0,201.0,61.0,30.0,16.0,0.0,101.0,15.0,6.0,3.0,0.285,0.342,0.393,0.735,0.123,93.3,0.25
1.33,1.65,533.0,473.0,64.0,13.0,202.0,66.0,49.0,6.0,1.0,70.0,10.0,1.0,4.0,0.3,0.37,0.427,0.797,0.146,107.9,0.6
1.14,1.32,498.0,436.0,61.0,20.0,202.0,83.0,49.0,8.0,1.0,83.0,12.0,0.0,5.0,0.271,0.351,0.463,0.814,0.147,108.9,0.5
1.06,1.49,583.0,517.0,61.0,8.0,216.0,69.0,47.0,9.0,1.0,76.0,10.0,1.0,9.0,0.294,0.357,0.418,0.775,0.136,104.7,0.8571428571428571
1.01,1.65,468.0,405.0,57.0,7.0,148.0,53.0,47.0,10.0,3.0,120.0,7.0,3.0,3.0,0.262,0.351,0.365,0.716,0.121,86.4,0.4444444444444444
